Longitudinal	longitudinal	O	O
assessment	assessment	O	O
of	of	O	O
air	air	O	O
conduction	conduction	O	O
audiograms	audiograms	O	O
in	in	O	O
a	a	O	O
phase	phase	O	O
III	iii	O	O
clinical	clinical	O	O
trial	trial	O	O
of	of	O	O
difluoromethylornithine	difluoromethylornithine	S_chemicals	O
and	and	O	O
sulindac	sulindac	O	O
for	for	O	O
prevention	prevention	O	O
of	of	O	O
sporadic	sporadic	O	O
colorectal	colorectal	O	O
adenomas	adenomas	O	S_disease
.	.	O	O

A	a	O	O
phase	phase	O	O
III	iii	O	O
clinical	clinical	O	O
trial	trial	O	O
assessed	assessed	O	O
the	the	O	O
recurrence	recurrence	O	S_disease
of	of	O	O
adenomatous	adenomatous	O	B_disease
polyps	polyps	O	S_disease
after	after	O	O
treatment	treatment	O	O
for	for	O	O
36	36	O	O
months	months	O	O
with	with	O	O
difluoromethylornithine	difluoromethylornithine	S_chemicals	O
(	(	O	O
DFMO	dfmo	O	O
)	)	O	O
plus	plus	O	O
sulindac	sulindac	O	O
or	or	O	O
matched	matched	O	O
placebos	placebos	S_chemicals	O
.	.	O	O

Temporary	temporary	O	O
hearing	hearing	O	B_disease
loss	loss	O	I_disease
is	is	O	O
a	a	O	O
known	known	O	O
toxicity	toxicity	O	O
of	of	O	O
treatment	treatment	O	O
with	with	O	O
DFMO	dfmo	O	O
,	,	O	O
thus	thus	O	O
a	a	O	O
comprehensive	comprehensive	O	O
approach	approach	O	O
was	was	O	O
developed	developed	O	O
to	to	O	O
analyze	analyze	O	O
serial	serial	O	O
air	air	O	O
conduction	conduction	O	O
audiograms	audiograms	O	O
.	.	O	O

The	the	O	O
generalized	generalized	O	O
estimating	estimating	O	O
equation	equation	O	O
method	method	O	O
estimated	estimated	O	O
the	the	O	O
mean	mean	O	O
difference	difference	O	O
between	between	O	O
treatment	treatment	O	O
arms	arms	O	O
with	with	O	O
regard	regard	O	O
to	to	O	O
change	change	O	O
in	in	O	O
air	air	O	O
conduction	conduction	O	O
pure	pure	O	O
tone	tone	O	O
thresholds	thresholds	O	O
while	while	O	O
accounting	accounting	O	O
for	for	O	O
within-subject	within-subject	O	O
correlation	correlation	O	O
due	due	O	O
to	to	O	O
repeated	repeated	O	O
measurements	measurements	O	O
at	at	O	O
frequencies	frequencies	O	O
.	.	O	O

Based	based	O	O
on	on	O	O
290	290	O	O
subjects	subjects	O	O
,	,	O	O
there	there	O	O
was	was	O	O
an	an	O	O
average	average	O	O
difference	difference	O	O
of	of	O	O
0.50	0.50	O	O
dB	db	O	O
between	between	O	O
subjects	subjects	O	O
treated	treated	O	O
with	with	O	O
DFMO	dfmo	O	O
plus	plus	O	O
sulindac	sulindac	O	O
compared	compared	O	O
with	with	O	O
those	those	O	O
treated	treated	O	O
with	with	O	O
placebo	placebo	O	O
(	(	O	O
95	95	O	O
%	%	O	O
confidence	confidence	O	O
interval	interval	O	O
,	,	O	O
-0.64	-0.64	O	O
to	to	O	O
1.63	1.63	O	O
dB	db	O	O
;	;	O	O
P	p	O	O
=	=	O	O
0.39	0.39	O	O
)	)	O	O
,	,	O	O
adjusted	adjusted	O	O
for	for	O	O
baseline	baseline	O	O
values	values	O	O
,	,	O	O
age	age	O	O
,	,	O	O
and	and	O	O
frequencies	frequencies	O	O
.	.	O	O

In	in	O	O
the	the	O	O
normal	normal	O	O
speech	speech	O	O
range	range	O	O
of	of	O	O
500	500	O	O
to	to	O	O
3,000	3,000	O	O
Hz	hz	O	O
,	,	O	O
an	an	O	O
estimated	estimated	O	O
difference	difference	O	O
of	of	O	O
0.99	0.99	O	O
dB	db	O	O
(	(	O	O
-0.17	-0.17	O	O
to	to	O	O
2.14	2.14	O	O
dB	db	O	O
;	;	O	O
P	p	O	O
=	=	O	O
0.09	0.09	O	O
)	)	O	O
was	was	O	O
detected	detected	O	O
.	.	O	O

Dose	dose	O	O
intensity	intensity	O	O
did	did	O	O
not	not	O	O
add	add	O	O
information	information	O	O
to	to	O	O
models	models	O	O
.	.	O	O

There	there	O	O
were	were	O	O
14	14	O	O
of	of	O	O
151	151	O	O
(	(	O	O
9.3	9.3	O	O
%	%	O	O
)	)	O	O
in	in	O	O
the	the	O	O
DFMO	dfmo	O	O
plus	plus	O	O
sulindac	sulindac	O	O
group	group	O	O
and	and	O	O
4	4	O	O
of	of	O	O
139	139	O	O
(	(	O	O
2.9	2.9	O	O
%	%	O	O
)	)	O	O
in	in	O	O
the	the	O	O
placebo	placebo	O	O
group	group	O	O
who	who	O	O
experienced	experienced	O	O
at	at	O	O
least	least	O	O
15	15	O	O
dB	db	O	O
hearing	hearing	O	O
reduction	reduction	O	O
from	from	O	O
baseline	baseline	O	O
in	in	O	O
2	2	O	O
or	or	O	O
more	more	O	O
consecutive	consecutive	O	O
frequencies	frequencies	O	O
across	across	O	O
the	the	O	O
entire	entire	O	O
range	range	O	O
tested	tested	O	O
(	(	O	O
P	p	O	O
=	=	O	O
0.02	0.02	O	O
)	)	O	O
.	.	O	O

Follow-up	follow-up	O	O
air	air	O	O
conduction	conduction	O	O
done	done	O	O
at	at	O	O
least	least	O	O
6	6	O	O
months	months	O	O
after	after	O	O
end	end	O	O
of	of	O	O
treatment	treatment	O	O
showed	showed	O	O
an	an	O	O
adjusted	adjusted	O	O
mean	mean	O	O
difference	difference	O	O
in	in	O	O
hearing	hearing	O	O
thresholds	thresholds	O	O
of	of	O	O
1.08	1.08	O	O
dB	db	O	O
(	(	O	O
-0.81	-0.81	O	O
to	to	O	O
2.96	2.96	O	O
dB	db	O	O
;	;	O	O
P	p	O	O
=	=	O	O
0.26	0.26	O	O
)	)	O	O
between	between	O	O
treatment	treatment	O	O
arms	arms	O	O
.	.	O	O

There	there	O	O
was	was	O	O
no	no	O	O
significant	significant	O	O
difference	difference	O	O
in	in	O	O
the	the	O	O
proportion	proportion	O	O
of	of	O	O
subjects	subjects	O	O
in	in	O	O
the	the	O	O
DFMO	dfmo	O	O
plus	plus	O	O
sulindac	sulindac	O	O
group	group	O	O
who	who	O	O
experienced	experienced	O	O
clinically	clinically	O	O
significant	significant	O	O
hearing	hearing	O	B_disease
loss	loss	O	I_disease
compared	compared	O	O
with	with	O	O
the	the	O	O
placebo	placebo	O	O
group	group	O	O
.	.	O	O

The	the	O	O
estimated	estimated	O	O
attributable	attributable	O	O
risk	risk	O	O
of	of	O	O
ototoxicity	ototoxicity	O	S_disease
from	from	O	O
exposure	exposure	O	O
to	to	O	O
the	the	O	O
drug	drug	S_chemicals	O
is	is	O	O
8.4	8.4	O	O
%	%	O	O
(	(	O	O
95	95	O	O
%	%	O	O
confidence	confidence	O	O
interval	interval	O	O
,	,	O	O
-2.0	-2.0	O	O
%	%	O	O
to	to	O	O
18.8	18.8	O	O
%	%	O	O
;	;	O	O
P	p	O	O
=	=	O	O
0.12	0.12	O	O
)	)	O	O
.	.	O	O

There	there	O	O
is	is	O	O
a	a	O	O
<	<	O	O
2	2	O	O
dB	db	O	O
difference	difference	O	O
in	in	O	O
mean	mean	O	O
threshold	threshold	O	O
for	for	O	O
patients	patients	O	O
treated	treated	O	O
with	with	O	O
DFMO	dfmo	O	O
plus	plus	O	O
sulindac	sulindac	O	O
compared	compared	O	O
with	with	O	O
those	those	O	O
treated	treated	O	O
with	with	O	O
placebo	placebo	O	O
.	.	O	O

