Nociceptive	nociceptive	O	O
effects	effects	O	O
induced	induced	O	O
by	by	O	O
intrathecal	intrathecal	O	O
administration	administration	O	O
of	of	O	O
prostaglandin	prostaglandin	B_chemicals	O
D2	d2	S_chemicals	O
,	,	O	O
E2	e2	S_chemicals	O
,	,	O	O
or	or	O	O
F2	f2	B_chemicals	O
alpha	alpha	I_chemicals	O
to	to	O	O
conscious	conscious	O	O
mice	mice	O	O
.	.	O	O

The	the	O	O
effects	effects	O	O
of	of	O	O
intrathecal	intrathecal	O	O
administration	administration	O	O
of	of	O	O
prostaglandins	prostaglandins	S_chemicals	O
on	on	O	O
pain	pain	O	O
responses	responses	O	O
in	in	O	O
conscious	conscious	O	O
mice	mice	O	O
were	were	O	O
evaluated	evaluated	O	O
by	by	O	O
using	using	O	O
hot	hot	O	O
plate	plate	O	O
and	and	O	O
acetic	acetic	B_chemicals	O
acid	acid	S_chemicals	O
writhing	writhing	O	O
tests	tests	O	O
.	.	O	O

Prostaglandin	prostaglandin	B_chemicals	O
D2	d2	S_chemicals	O
(	(	O	O
0.5	0.5	O	O
-	-	O	O
3	3	O	O
ng/mouse	ng/mouse	O	O
)	)	O	O
had	had	O	O
a	a	O	O
hyperalgesic	hyperalgesic	O	S_disease
action	action	O	O
on	on	O	O
the	the	O	O
response	response	O	O
to	to	O	O
a	a	O	O
hot	hot	O	O
plate	plate	O	O
during	during	O	O
a	a	O	O
3	3	O	O
-	-	O	O
60	60	O	O
min	min	O	O
period	period	O	O
after	after	O	O
injection	injection	O	O
.	.	O	O

Prostaglandin	prostaglandin	B_chemicals	O
E2	e2	S_chemicals	O
showed	showed	O	O
a	a	O	O
hyperalgesic	hyperalgesic	O	S_disease
effect	effect	O	O
at	at	O	O
doses	doses	O	O
of	of	O	O
1	1	O	O
pg	pg	S_chemicals	O
to	to	O	O
10	10	O	O
ng/mouse	ng/mouse	O	O
,	,	O	O
but	but	O	O
the	the	O	O
effect	effect	O	O
lasted	lasted	O	O
shorter	shorter	O	O
(	(	B_chemicals	O
3	3	I_chemicals	O
-	-	O	O
30	30	O	O
min	min	O	O
)	)	O	O
than	than	O	O
that	that	O	O
of	of	O	O
prostaglandin	prostaglandin	B_chemicals	O
D2	d2	S_chemicals	O
.	.	O	O

Similar	similar	O	O
results	results	O	O
were	were	O	O
obtained	obtained	O	O
by	by	O	O
acetic	acetic	B_chemicals	O
acid	acid	S_chemicals	O
writhing	writhing	O	O
tests	tests	O	O
.	.	O	O

The	the	O	O
hyperalgesic	hyperalgesic	O	S_disease
effect	effect	O	O
of	of	O	O
prostaglandin	prostaglandin	B_chemicals	O
D2	d2	S_chemicals	O
was	was	O	O
blocked	blocked	O	O
by	by	O	O
simultaneous	simultaneous	O	O
injection	injection	O	O
of	of	O	O
a	a	O	O
substance	substance	B_chemicals	O
P	p	I_chemicals	O
antagonist	antagonist	O	O
(	(	O	O
greater	greater	O	O
than	than	O	O
or	or	O	O
equal	equal	O	O
to	to	O	O
100	100	O	O
ng	ng	O	O
)	)	O	O
but	but	O	O
not	not	O	O
by	by	O	O
AH6809	ah6809	O	O
,	,	O	O
a	a	O	O
prostanoid	prostanoid	S_chemicals	O
EP1-receptor	ep1-receptor	O	O
antagonist	antagonist	O	O
.	.	O	O

Conversely	conversely	O	O
,	,	O	O
prostaglandin	prostaglandin	S_chemicals	O
E2-induced	e2-induced	O	O
hyperalgesia	hyperalgesia	O	S_disease
was	was	O	O
blocked	blocked	O	O
by	by	O	O
AH6809	ah6809	O	O
(	(	O	O
greater	greater	O	O
than	than	O	O
or	or	O	O
equal	equal	O	O
to	to	O	O
500	500	O	O
ng	ng	O	O
)	)	O	O
but	but	O	O
not	not	O	O
by	by	O	O
the	the	O	O
substance	substance	B_chemicals	O
P	p	I_chemicals	O
antagonist	antagonist	O	O
.	.	O	O

Prostaglandin	prostaglandin	B_chemicals	O
F2	f2	B_chemicals	O
alpha	alpha	I_chemicals	O
had	had	O	O
little	little	O	O
effect	effect	O	O
on	on	O	O
pain	pain	O	O
responses	responses	O	O
.	.	O	O

These	these	O	O
results	results	O	O
demonstrate	demonstrate	O	O
that	that	O	O
both	both	O	O
prostaglandin	prostaglandin	B_chemicals	O
D2	d2	S_chemicals	O
and	and	O	O
prostaglandin	prostaglandin	B_chemicals	O
E2	e2	S_chemicals	O
exert	exert	O	O
hyperalgesia	hyperalgesia	O	S_disease
in	in	O	O
the	the	O	O
spinal	spinal	O	B_disease
cord	cord	O	I_disease
,	,	O	O
but	but	O	O
in	in	O	O
different	different	O	O
ways	ways	O	O
.	.	O	O

