Changes	changes	O	O
in	in	O	O
peroxisomes	peroxisomes	O	O
in	in	O	O
preneoplastic	preneoplastic	O	S_disease
liver	liver	O	O
and	and	O	O
hepatoma	hepatoma	O	S_disease
of	of	O	O
mice	mice	O	O
induced	induced	O	O
by	by	O	O
alpha-benzene	alpha-benzene	O	O
hexachloride	hexachloride	S_chemicals	O
.	.	O	O

Peroxisomes	peroxisomes	O	O
in	in	O	O
hepatomas	hepatomas	O	S_disease
and	and	O	O
hyperplastic	hyperplastic	O	O
preneoplastic	preneoplastic	O	S_disease
liver	liver	O	O
lesions	lesions	O	O
induced	induced	O	O
in	in	O	O
mice	mice	O	O
by	by	O	O
500	500	O	O
ppm	ppm	O	O
alpha-benzene	alpha-benzene	O	O
hexachloride	hexachloride	S_chemicals	O
were	were	O	O
examined	examined	O	O
histochemically	histochemically	O	O
and	and	O	O
electron	electron	O	O
microscopically	microscopically	O	O
.	.	O	O

Although	although	O	O
most	most	O	O
of	of	O	O
the	the	O	O
hepatomas	hepatomas	O	S_disease
were	were	O	O
well-differentiated	well-differentiated	O	S_disease
tumors	tumors	O	S_disease
and	and	O	O
contained	contained	O	O
a	a	O	O
considerable	considerable	O	O
number	number	O	O
of	of	O	O
peroxisomes	peroxisomes	O	O
,	,	O	O
the	the	O	O
tumor	tumor	O	B_disease
cells	cells	O	I_disease
did	did	O	O
not	not	O	O
respond	respond	O	O
to	to	O	O
ethyl-alpha-p-chlorophenoxyisobutyrate	ethyl-alpha-p-chlorophenoxyisobutyrate	O	O
with	with	O	O
proliferation	proliferation	O	O
of	of	O	O
peroxisomes	peroxisomes	O	O
.	.	O	O

At	at	O	O
the	the	O	O
16th	16th	O	O
week	week	O	O
of	of	O	O
carcinogen	carcinogen	S_chemicals	O
feeding	feeding	O	O
,	,	O	O
hyperplastic	hyperplastic	O	O
nodules	nodules	O	O
appeared	appeared	O	O
and	and	O	O
advanced	advanced	O	O
to	to	O	O
further	further	O	O
stages	stages	O	O
.	.	O	O

A	a	O	O
majority	majority	O	O
of	of	O	O
the	the	O	O
nodules	nodules	O	O
showed	showed	O	O
a	a	O	O
considerable	considerable	O	O
number	number	O	O
of	of	O	O
peroxisomes	peroxisomes	O	O
and	and	O	O
the	the	O	O
inductive	inductive	O	O
proliferation	proliferation	O	O
of	of	O	O
peroxisomes	peroxisomes	O	O
.	.	O	O

Within	within	O	O
the	the	O	O
nodules	nodules	O	O
,	,	O	O
foci	foci	O	O
of	of	O	O
proliferation	proliferation	O	O
of	of	O	O
the	the	O	O
cells	cells	O	O
that	that	O	O
showed	showed	O	O
no	no	O	O
inducibility	inducibility	O	O
of	of	O	O
proliferation	proliferation	O	O
of	of	O	O
peroxisomes	peroxisomes	O	O
appeared	appeared	O	O
.	.	O	O

These	these	O	O
cells	cells	O	O
proliferated	proliferated	O	O
further	further	O	O
,	,	O	O
replacing	replacing	O	O
the	the	O	O
most	most	O	O
part	part	O	O
of	of	O	O
the	the	O	O
nodules	nodules	O	O
,	,	O	O
and	and	O	O
with	with	O	O
this	this	O	O
process	process	O	O
hepatomas	hepatomas	O	S_disease
appeared	appeared	O	O
to	to	O	O
have	have	O	O
been	been	O	O
formed	formed	O	O
.	.	O	O

No	no	O	O
abnormal	abnormal	O	O
matrical	matrical	O	O
inclusions	inclusions	O	O
of	of	O	O
peroxisomes	peroxisomes	O	O
were	were	O	O
formed	formed	O	O
in	in	O	O
the	the	O	O
cells	cells	O	O
of	of	O	O
hyperplastic	hyperplastic	O	O
nodules	nodules	O	O
by	by	O	O
ethyl-alpha-p-chlorophenoxyisobutyrate	ethyl-alpha-p-chlorophenoxyisobutyrate	O	O
unlike	unlike	O	O
in	in	O	O
the	the	O	O
case	case	O	O
of	of	O	O
rats	rats	O	O
.	.	O	O

