Value	value	O	O
of	of	O	O
methylprednisolone	methylprednisolone	S_chemicals	O
in	in	O	O
prevention	prevention	O	O
of	of	O	O
the	the	O	O
arthralgia-myalgia	arthralgia-myalgia	O	O
syndrome	syndrome	O	S_disease
associated	associated	O	O
with	with	O	O
the	the	O	O
total	total	O	O
dose	dose	O	O
infusion	infusion	O	O
of	of	O	O
iron	iron	S_chemicals	O
dextran	dextran	S_chemicals	O
:	:	O	O
a	a	O	O
double	double	O	O
blind	blind	O	O
randomized	randomized	O	O
trial	trial	O	O
.	.	O	O

The	the	O	O
safety	safety	O	O
and	and	O	O
efficacy	efficacy	O	O
of	of	O	O
total	total	O	O
dose	dose	O	O
infusion	infusion	O	O
(	(	O	O
TDI	tdi	O	O
)	)	O	O
of	of	O	O
iron	iron	S_chemicals	O
dextran	dextran	S_chemicals	O
has	has	O	O
been	been	O	O
well	well	O	O
documented	documented	O	O
.	.	O	O

In	in	O	O
40	40	O	O
%	%	O	O
of	of	O	O
treated	treated	O	O
patients	patients	O	O
,	,	O	O
an	an	O	O
arthralgia-myalgia	arthralgia-myalgia	O	O
syndrome	syndrome	O	S_disease
develops	develops	O	O
.	.	O	O

The	the	O	O
purpose	purpose	O	O
of	of	O	O
this	this	O	O
randomized	randomized	O	O
,	,	O	O
double-blind	double-blind	O	O
,	,	O	O
prospective	prospective	O	O
study	study	O	O
was	was	O	O
to	to	O	O
investigate	investigate	O	O
whether	whether	O	O
intravenous	intravenous	O	O
(	(	O	O
i.v	i.v	O	O
.	.	O	O
)	)	O	O
administration	administration	O	O
of	of	O	O
methylprednisolone	methylprednisolone	S_chemicals	O
(	(	O	O
MP	mp	O	O
)	)	O	O
prevents	prevents	O	O
this	this	O	O
complication	complication	O	O
.	.	O	O

Sixty-five	sixty-five	O	O
patients	patients	O	O
,	,	O	O
34	34	O	O
women	women	O	O
and	and	O	O
31	31	O	O
men	men	O	O
,	,	O	O
ages	ages	O	O
36	36	O	O
to	to	O	O
80	80	O	O
years	years	O	O
,	,	O	O
received	received	O	O
either	either	O	O
normal	normal	B_chemicals	O
saline	saline	I_chemicals	O
before	before	O	O
and	and	O	O
after	after	O	O
TDI	tdi	O	O
(	(	O	O
group	group	B_chemicals	O
1	1	I_chemicals	O
)	)	O	O
,	,	O	O
125	125	O	O
mg	mg	O	O
i.v	i.v	O	O
.	.	O	O

MP	mp	O	O
before	before	O	O
and	and	O	O
saline	saline	O	O
after	after	O	O
TDI	tdi	O	O
(	(	O	O
group	group	B_chemicals	O
2	2	I_chemicals	O
)	)	O	O
,	,	O	O
or	or	O	O
125	125	O	O
mg	mg	O	O
i.v	i.v	O	O
.	.	O	O

MP	mp	O	O
before	before	O	O
and	and	O	O
after	after	O	O
TDI	tdi	O	O
(	(	O	O
group	group	O	O
3	3	O	O
)	)	O	O
.	.	O	O

Patients	patients	O	O
were	were	O	O
observed	observed	O	O
for	for	O	O
72	72	O	O
hours	hours	O	O
and	and	O	O
reactions	reactions	O	O
were	were	O	O
recorded	recorded	O	O
and	and	O	O
graded	graded	O	O
according	according	O	O
to	to	O	O
severity	severity	O	O
.	.	O	O

Fifty-eight	fifty-eight	O	O
